num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
15 : 0.88 : 89 | 4, 7, 10, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.88 : 91 | 5, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.88 : 94 | 4, 8, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11 | 1 ms
15 : 0.88 : 97 | 5, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 1 ms
15 : 0.85 : 92 | 5, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.85 : 87 | 5, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.85 : 94 | 5, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.85 : 87 | 5, 14, 15 | 0 ms
15 : 0.85 : 81 | 5, 12, 15 | 0 ms
15 : 0.85 : 87 | 6, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.85 : 90 | 5, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.85 : 93 | 4, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13 | 1 ms
15 : 0.82 : 88 | 5, 11, 15 | 0 ms
15 : 0.82 : 95 | 5, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11 | 1 ms
15 : 0.82 : 87 | 4, 11, 15 | 0 ms
15 : 0.82 : 85 | 5, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.82 : 94 | 5, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 1 ms
15 : 0.82 : 85 | 7, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13 | 1 ms
15 : 0.82 : 76 | 7, 15 | 0 ms
15 : 0.82 : 88 | 6, 14, 15 | 0 ms
15 : 0.8 : 89 | 5, 12, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.8 : 85 | 6, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.8 : 81 | 6, 14, 15 | 0 ms
15 : 0.8 : 85 | 4, 11, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.8 : 86 | 6, 11, 14, 15 | 0 ms
15 : 0.8 : 87 | 5, 13, 15 | 0 ms
15 : 0.8 : 80 | 5, 14, 15 | 0 ms
15 : 0.8 : 81 | 5, 12, 15 | 0 ms
